##	NA
1	P48742
APLF	Q8IW19
APLNR	P35414
APLP1	P51693
APLP2	Q06481
APOA1	P02647
APOA1BP	Q8NCW5
APOA2	P02652
APOA4	P06727
APOB	P04114
APOBEC1	P41238
APOBEC3A	P31941
APOBEC3B	Q9UH17
APOBEC3F	Q8IUX4
APOC3	P02656
APOE	P02649
APOL2	Q9BQE5
APOO	Q9BUR5
APOOL	Q6UXV4
APP	P05067
APPBP2	Q92624
APPL1	Q9UKG1
APPL2	Q8NEU8
APRT	P07741
APS	O14492
AQP	D0AB05
AQP2	P41181
AQP4	P55087
AQP6	Q13520
AQP9	O14520
AQPEP	Q6Q4G3
AR	P10275
ARAF	P10398
ARAP1	Q96P48
ARAP2	Q8WZ64
ARAP3	Q8WWN8
ARC100	O75448
ARC205	Q15648
ARCN1	P48444
ARD1A	P41227
AREC3	Q9UL97
ARF1	P84077
ARF1GAP	Q8N6T3
ARF4	P18085
ARF6	P62330
ARFGAP3	Q9NP61
ARFGEF1	Q9Y6D6
ARFGEF2	Q9Y6D5
ARFIP1	P53367
ARFIP2	P53365
ARFRP1	Q13795
ARG1	P05089
ARG134	Q9UBQ5
ARG2	P78540
ARGLU1	Q9NWB6
ARHA	P61586
ARHE	P61587
ARHG	P84095
ARHGAP1	Q07960
ARHGAP10	Q5T5U3
ARHGAP11A	Q6P4F7
ARHGAP12	Q8IWW6
ARHGAP15	Q53QZ3
ARHGAP17	Q68EM7
ARHGAP18	Q8N392
ARHGAP19	Q14CB8
ARHGAP21	Q5T5U3
ARHGAP22	Q7Z5H3
ARHGAP24	Q8N264
ARHGAP25	P42331
ARHGAP26	Q9UNA1
ARHGAP27	Q6ZUM4
ARHGAP28	Q9P2N2
ARHGAP29	Q52LW3
ARHGAP30	Q7Z6I6
ARHGAP6	O43182
ARHGAP9	Q9BRR9
ARHGDIA	P52565
ARHGDIB	P52566
ARHGEF1	Q92888
ARHGEF10	O15013
ARHGEF10L	Q9HCE6
ARHGEF11	O15085
ARHGEF12	Q9NZN5
